Product_Name,latest_price,product_barcode,product_category_level_one,product_category_level_two,product_category_level_three,store_name
Plain Glossy Gift Bag (Medium),1155,,Home / Pet,Seasonal / Occasion,Occasions,SPAR Market
"Cloudy Bay Sauvignon Blanc 2022, 750ml",60500,,Bws,Wine / Sparkling Wine,White,SPAR Market
Emborg Red Cheddar Mild 200Gm,11800,5701215045354,Dairy / Chilled / Eggs,Dairy / Eggs,Cream,SPAR Market
President Whipping Cream 1Lt,22075,3228020160314,Dairy / Chilled / Eggs,Dairy / Eggs,Cream,SPAR Market
